 2.51188643e+06 -1.76407925e-01  2.51188643e+06 -2.28074010e+02 
 2.63026799e+06 -4.25737469e-01  2.63026799e+06 -2.30122303e+02 
 2.75422870e+06 -6.84931035e-01  2.75422870e+06 -2.32147231e+02 
 2.88403150e+06 -9.53724648e-01  2.88403150e+06 -2.34148048e+02 
 3.01995172e+06 -1.23184178e+00  3.01995172e+06 -2.36124176e+02 
 3.16227766e+06 -1.51899686e+00  3.16227766e+06 -2.38075224e+02 
 3.31131121e+06 -1.81489898e+00  3.31131121e+06 -2.40000983e+02 
 3.46736850e+06 -2.11925548e+00  3.46736850e+06 -2.41901436e+02 
 3.63078055e+06 -2.43177556e+00  3.63078055e+06 -2.43776754e+02 
 3.80189396e+06 -2.75217381e+00  3.80189396e+06 -2.45627290e+02 
 3.98107171e+06 -3.08017338e+00  3.98107171e+06 -2.47453578e+02 
 4.16869383e+06 -3.41550912e+00  4.16869383e+06 -2.49256317e+02 
 4.36515832e+06 -3.75793033e+00  4.36515832e+06 -2.51036363e+02 
 4.57088190e+06 -4.10720329e+00  4.57088190e+06 -2.52794717e+02 
 4.78630092e+06 -4.46311346e+00  4.78630092e+06 -2.54532507e+02 
 5.01187234e+06 -4.82546744e+00  5.01187234e+06 -2.56250976e+02 
 5.24807460e+06 -5.19409457e+00  5.24807460e+06 -2.57951465e+02 
 5.49540874e+06 -5.56884833e+00  5.49540874e+06 -2.59635393e+02 
 5.75439937e+06 -5.94960743e+00  5.75439937e+06 -2.61304242e+02 
 6.02559586e+06 -6.33627660e+00  6.02559586e+06 -2.62959540e+02 
 6.30957344e+06 -6.72878724e+00  6.30957344e+06 -2.64602841e+02 
 6.60693448e+06 -7.12709769e+00  6.60693448e+06 -2.66235707e+02 
 6.91830971e+06 -7.53119339e+00  6.91830971e+06 -2.67859689e+02 
 7.24435960e+06 -7.94108673e+00  7.24435960e+06 -2.69476312e+02 
 7.58577575e+06 -8.35681668e+00  7.58577575e+06 -2.71087052e+02 
 7.94328235e+06 -8.77844824e+00  7.94328235e+06 -2.72693323e+02 
 8.31763771e+06 -9.20607154e+00  8.31763771e+06 -2.74296452e+02 
 8.70963590e+06 -9.63980077e+00  8.70963590e+06 -2.75897670e+02 
 9.12010839e+06 -1.00797728e+01  9.12010839e+06 -2.77498084e+02 
 9.54992586e+06 -1.05261457e+01  9.54992586e+06 -2.79098670e+02 
 1.00000000e+07 -1.09790963e+01  1.00000000e+07 -2.80700249e+02 
